Mã hàng;Mã vạch;Tên hàng;Thương hiệu;Giá bán;Giá vốn;Tồn kho;KH đặt;Dự kiến hết hàng;Tồn nhỏ nhất;Tồn lớn nhất;ĐVT;Mã ĐVT Cơ bản;Quy đổi;Thuộc tính;Mã HH Liên quan;Trọng lượng;Đang kinh doanh;Được bán trực tiếp;Giá sỉ
KN18-1;8936025773181;Sữa Kun vị nho hộp 180ml;Kun;26.000,0;23.072,00;18,250;;;0,0;0,0;lóc;KN18;4,0;;KN18;0,0;1;1;0,0
KN18-2;PVN913;Sữa Kun vị nho hộp 180ml;Kun;284.000,0;276.864,00;1,521;;;0,0;0,0;thùng;KN18;48,0;;KN18;0,0;1;1;0,0
KD1;;Sữa Kun vị dâu hộp 110ml;Kun;5.000,0;3.694,00;240,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
KD1-1;8936025771262;Sữa Kun vị dâu hộp 110ml;Kun;18.000,0;14.776,00;60,0;;;0,0;0,0;lóc;KD1;4,0;;KD1;0,0;1;1;0,0
KD1-2;PVN960;Sữa Kun vị dâu hộp 110ml;Kun;188.000,0;177.312,00;5,0;;;0,0;0,0;thùng;KD1;48,0;;KD1;0,0;1;1;0,0
ST1;8936025772139;Sữa kun socola túi 110ml;Kun;5.000,0;4.125,00;70,0;;;0,0;0,0;túi;;1,0;;;0,0;1;1;0,0
ST1-1;ST1L;Sữa kun socola túi 110ml;Kun;46.000,0;41.250,00;7,0;;;0,0;0,0;lóc;ST1;10,0;;ST1;0,0;1;1;0,0
ST1-2;ST1T;Sữa kun socola túi 110ml;Kun;108.000,0;99.000,00;2,917;;;0,0;0,0;thùng;ST1;24,0;;ST1;0,0;1;1;0,0
CT1;8936025772122;Sữa kun vị cam túi 110ml;Kun;5.000,0;4.125,00;170,0;;;0,0;0,0;túi;;1,0;;;0,0;1;1;0,0
CT1-1;CT1L;Sữa kun vị cam túi 110ml;Kun;46.000,0;41.250,00;17,0;;;0,0;0,0;chục;CT1;10,0;;CT1;0,0;1;1;0,0
CT1-2;CT1T;Sữa kun vị cam túi 110ml;Kun;108.000,0;99.000,00;7,083;;;0,0;0,0;thùng;CT1;24,0;;CT1;0,0;1;1;0,0
KN1;;Sữa kun vị nho hộp 110ml;Kun;5.000,0;3.700,00;39,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
KN1-1;8936025773068;Sữa kun vị nho hộp 110ml;Kun;18.000,0;14.800,00;9,750;;;0,0;0,0;lóc;KN1;4,0;;KN1;0,0;1;1;0,0
KN1-2;KN1T;Sữa kun vị nho hộp 110ml;Kun;184.000,0;177.600,00;0,813;;;0,0;0,0;thùng;KN1;48,0;;KN1;0,0;1;1;0,0
DT1;8936025772115;Sữa kun hương dâu túi 110ml;Kun;5.000,0;4.180,00;161,0;;;0,0;0,0;bịch;;1,0;;;0,0;1;1;0,0
