ma_hang;ma_vach;ten_hang;thuong_hieu;gia_ban;gia_von;ton_kho;ton_nho_nhat;ton_lon_nhat;dvt;ma_dvt_co_ban;quy_doi;ma_hh_lien_quan;trong_luong;gia_si
SP000675;8850718820573;Lay's Stax vị tự nhiên hộp 65g;Lays;26000;21900;0;;;lon;;1;;;0
SP000676;8936079124243;Lay's hương vị lẩu tôm yum chua cay gói 28g;Lays;6000;4800;0;;;bịch;;1;;;0
SP000677;8936079124465;Lay's vị phở bò Hà Nội bịch 52g;Lays;10000;8900;0;;;gói;;1;;;0
SP000678;8859578600790;Kẹo Play more không đường vị nho 12g;Playmore;10000;8500;0;;;bịch;;1;;;0
SP000679;8859578600400;Kẹo Play more không đường vị dưa hấu 12g;Playmore;10000;8500;0;;;bịch;;1;;;0
SP000680;8850718820580;Khoai tây lon LAYS STAX tôm hùm 65G;Lays;26000;21900;0;;;LON;;1;;;0
SP000681;8850718820597;Khoai tây lon LAYS STAX kem hành 65g;Lays;26000;21900;0;;;lon;;1;;;0
SP000682;8936079125387;Lays stax vị tự nhiên lon 100g;Lays;30000;25412;0;;;lon;;1;;;0
SP000683;8936079125394;Lays Stax vị tôm hùm nướng ngũ vị lon 100g;Lays;30000;25412;0;;;lon;;1;;;0
SP000684;8936079125493;Lays Stax vị kem chua hành tây lon 42g;Lays;18000;15000;0;;;hộp;;1;;;0
SP000685;8936079125486;Lays stax tôm nướng ngũ vị lon 42g;Lays;18000;15000;0;;;lon;;1;;;0
SP000686;8936079125509;Lays stax vị tự nhiên lon 42g;Lays;18000;15000;0;;;lon;;1;;;0
SP000687;8850718822812;Lays stax vị phô mai cheddar kiểu anh quốc lon 42g;Lays;18000;15000;0;;;lon;;1;;;0
SP000688;8936079125455;Lay Stax kem chua & hành tây lon 150g;Lays;37000;33000;0;;;lon;;1;;;0
SP000689;8936079126063;Lay Stax vị tự nhiên lon 150g;Lays;37000;33000;0;;;lon;;1;;;0
